x_1,y_1,z_1,E_1_eV,x_2,y_2,z_2,E_2_eV,x_3,y_3,z_3,E_3_eV,x_4,y_4,z_4,E_4_eV,x_5,y_5,z_5,E_5_eV,x_6,y_6,z_6,E_6_eV,x_7,y_7,z_7,E_7_eV,x_8,y_8,z_8,E_8_eV,x_9,y_9,z_9,E_9_eV,x_10,y_10,z_10,E_10_eV
-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578
-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578
-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578
-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578
-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578
-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578
-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578
-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578
-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578
-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578
0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578,0.0,0.0,0.0,1306.960049937578
38.979655997837426,-9.736412297873867,-3.17853454113311,1306.960049937578,5.3182175003344225,-1.2787844296604034,-4.671337889544293,1306.960049937578,8.737137188291044,-11.331098939839713,-0.08304812835853151,1306.960049937578,6.288530628145172,-6.320220780635604,6.98468771064462,1306.960049937578,19.07264712803713,-0.03024846711582793,6.246569094881394,1306.960049937578,10.623149523089268,4.672342335983184,9.237824460407406,1306.960049937578,54.592912404647656,-3.0668278970647354,4.304211336925927,1306.960049937578,3.804044956494378,1.6000763049675706,-2.5177299721005655,1306.960049937578,37.21600462917914,-37.44922713330881,-2.041182961776609,1306.960049937578,60.73489805158522,-39.247950609298165,-29.00043067458137,1306.960049937578
42.997129439213225,-13.489179769314978,-0.08815708300946135,1176.6260837388168,21.214756702967783,-12.239890082577888,-12.655068382830146,1176.6260837388168,57.9206706098232,-33.41587023930879,-7.989064019544121,1176.6260837388168,27.6130163527896,-3.7554611766027106,-4.725435190741612,1176.6260837388168,21.142004353721333,-0.40361050924526465,6.444526031857939,1176.6260837388168,28.848661127008352,-17.78109462924111,18.973672371632034,1176.6260837388168,92.69260535362258,-20.610943163661346,15.566160475797805,1176.6260837388168,6.92250377182663,3.7179806098508044,-2.6101811542051903,1176.6260837388168,52.60277954694782,-39.28999700622061,-14.578671967898623,1176.6260837388168,71.81373122860833,-38.51000058202367,-34.15501254479288,1176.6260837388168
50.579165553505824,-6.276428685765546,-1.947866500735245,1059.2894105681867,55.99148619962926,-43.246842030158994,17.470086091447243,1059.2894105681867,63.80606903857713,-34.56681485461844,-8.94118896827635,1059.2894105681867,28.425521576671535,-2.7926905381795324,-5.025426674861382,1059.2894105681867,22.85943368385654,-2.081035787379359,6.2785747084595105,1059.2894105681867,31.58812841333454,-19.386930569803468,20.709728489546784,1059.2894105681867,99.14679946251584,-21.148792180767973,19.27754440655471,1059.2894105681867,14.686170362914286,2.252794596151242,-2.6984742712843834,1059.2894105681867,61.12127434339772,-53.44869858964197,-12.73169899573674,1059.2894105681867,82.50062545878983,-21.617947877998994,-33.574799272005855,1059.2894105681867
50.649241880173335,-6.276116096874266,-1.9813349258777404,953.6539014810544,57.357756225223156,-43.224055589548286,17.082613296069272,953.6539014810544,66.18628036618654,-31.16786634313115,-9.396840896315528,953.6539014810544,47.59446700249827,-13.345505772388233,9.122428053965454,953.6539014810544,44.74108861378018,-19.853957031439894,4.381132561453321,953.6539014810544,105.15610814715428,-37.26077900529029,21.861072015048986,953.6539014810544,129.33360033655345,-1.7248245155358894,3.0732929456089266,953.6539014810544,15.51630898298904,1.6409796789419686,-2.3200634125444175,953.6539014810544,62.50349845801956,-55.33251263582968,-12.949808763308093,953.6539014810544,115.10821974896665,-35.43357308826903,-12.607801009324309,953.6539014810544
63.686236933191026,-7.0683344992299695,3.634205346736165,858.5526813887608,85.9904187985024,-44.80611052937086,30.698182606232773,858.5526813887608,68.17801052688976,-33.224287184082606,-11.069549856397101,858.5526813887608,50.523198638637446,-15.372249688123478,6.494755386293242,858.5526813887608,124.59129686917828,1.4584583563014455,80.13969015146446,858.5526813887608,146.4437094313998,-76.19051956486004,7.3909262418965564,858.5526813887608,140.02544985434983,-12.211933400804615,3.151516772641241,858.5526813887608,36.9285554714498,11.277704831611498,-14.910921054854349,858.5526813887608,63.356162908056476,-56.381348783395076,-12.655027932981586,858.5526813887608,143.5565499908502,-41.49923458624765,-17.54195886671943,858.5526813887608
66.50649222046542,-9.937742456913877,4.414399603979372,772.9352394774162,100.29150358994227,-53.855587008927984,13.519718770333679,772.9352394774162,166.77947786963404,-48.83355427809856,-28.44671524951201,772.9352394774162,55.26322525980097,-19.372609155403975,0.20446830968824425,772.9352394774162,131.00565232423196,2.9601190992516635,83.6243618483584,772.9352394774162,157.84681689737295,-86.6226795808384,-6.088242404777185,772.9352394774162,140.65395284546287,-12.044944749592254,2.581552577639025,772.9352394774162,38.339759886201435,9.722924546097406,-14.498891519056588,772.9352394774162,69.89519004792164,-63.149643559978585,-13.865229923588954,772.9352394774162,143.92397264399236,-41.593475152094726,-17.18915787201908,772.9352394774162
91.77697182836616,-11.871238872899518,-9.654455397510272,695.8558250142943,107.1701650904034,-60.67311358252915,14.50154150125309,695.8558250142943,172.4802060756782,-51.38845778442627,-27.451530242973554,695.8558250142943,61.065688848872895,-20.24077230736853,0.7704190691446856,695.8558250142943,158.57148119957577,25.24203363483767,46.77177261951582,695.8558250142943,163.51477748467022,-92.75946449077746,-3.5816454109674045,695.8558250142943,181.96413905217355,18.767325425789863,-26.229044721829105,695.8558250142943,40.47403010043155,7.281812879294283,-14.199297512891677,695.8558250142943,97.77004857765567,-61.383312731380535,-10.9966467831558,695.8558250142943,163.00555843007933,-38.55765899912476,-18.118714015727374,695.8558250142943
93.51030030103635,-9.398547097396227,-8.748457411532979,626.4630003591292,111.32630083957972,-61.12231720921666,16.246096331209063,626.4630003591292,207.10948777995017,-52.427967444577874,-38.741188961541205,626.4630003591292,66.6902904214726,-26.491114815727627,-2.9237290295480425,626.4630003591292,209.37227591859528,74.93869173189314,52.76771605544809,626.4630003591292,194.19629922338163,-134.9271777681568,-1.762542584651984,626.4630003591292,186.4358676150942,17.974253673755047,-33.08836376300457,626.4630003591292,61.477220974975026,19.643565234711524,-19.318458959480704,626.4630003591292,126.15972917392915,-56.8113618836432,-12.741577302534639,626.4630003591292,163.92262093482694,-38.83298286290788,-17.803353643304582,626.4630003591292
95.96576800733872,-11.002278141279483,-5.574609937515042,563.9902357803794,117.85628023357052,-65.18687636230176,23.67846662490096,563.9902357803794,249.9502912115529,-65.71638956469828,-56.430377090557,563.9902357803794,77.21815951799113,-22.876139236033477,-2.2702370531980676,563.9902357803794,228.21389747856205,85.40663463195916,60.33401582902882,563.9902357803794,203.20892507855788,-132.6567454474741,-0.5730869050940801,563.9902357803794,208.7166029787188,26.09912438720186,-30.225757868530977,563.9902357803794,73.64156938179444,22.139733000503163,-12.250501265575249,563.9902357803794,129.07595382137202,-54.28995748445667,-15.112505034320812,563.9902357803794,193.8143517659154,-27.86630572754224,1.80870613673277,563.9902357803794
108.91096442050801,-6.084227234309723,2.5225241236756606,507.7474421845521,145.4293523288918,-27.249331498728097,1.6484839132155287,507.7474421845521,261.7206373336156,-67.27124012833053,-59.35506869386463,507.7474421845521,82.34723256203817,-22.820944871240616,-3.5948117032049196,507.7474421845521,237.31762730805244,92.49320152402456,52.100265329683786,507.7474421845521,210.73558127969903,-127.80294678204363,-5.168044781549586,507.7474421845521,211.231261333898,26.456078247765173,-34.55291036329412,507.7474421845521,82.84824363746787,30.808769927926235,-6.7673228965500725,507.7474421845521,190.0463364794243,-102.88480814263494,-38.67347866817284,507.7474421845521,196.44797478283147,-27.408149393103166,3.9061471876013747,507.7474421845521
115.44950562451017,-7.068258678745969,3.37836702011794,457.11334822708983,161.87055696803154,-25.527870357910704,-1.4119667851550992,457.11334822708983,262.8302355429873,-67.23202181037458,-59.80531000614004,457.11334822708983,98.48154286645621,-17.744811038040023,-5.635095794699124,457.11334822708983,245.44123835479365,93.48353811373825,50.93706853621065,457.11334822708983,212.77327998186448,-129.6276513129857,-7.8982653936618,457.11334822708983,220.48726652781974,25.957316043996656,-29.47786374396844,457.11334822708983,100.05308968090009,28.663165434073914,12.385385321559646,457.11334822708983,191.57926442330748,-104.20983301847197,-36.584118348859135,457.11334822708983,214.50316744375328,-50.832868437787866,-0.26129621506674416,457.11334822708983
127.38133162161981,4.648415213653684,6.01041520457253,411.5286376005656,173.852290546041,-19.140133460734646,6.468878573981318,411.5286376005656,265.8136681716052,-67.99076783561398,-62.58345599007962,411.5286376005656,108.3015963488242,-14.23194684164545,-17.10049773942163,411.5286376005656,256.2338463747763,82.57461975108657,48.29618005462231,411.5286376005656,224.26307198002098,-127.8327308359616,-18.75911766928438,411.5286376005656,230.6357039731012,32.74830594221157,-32.40253311458311,411.5286376005656,102.79697938488414,32.48471075873266,13.751897867321969,411.5286376005656,193.34317156749756,-104.43901729386772,-34.42354322831501,411.5286376005656,219.5262625616193,-53.17974266673713,1.3017935095608033,411.5286376005656
130.90612304699408,4.601208778716314,5.106376230470444,370.48977069303,175.8900985336019,-20.488032832200307,6.4524480118374985,370.48977069303,271.8149156240799,-72.22807598652253,-61.44330783310625,370.48977069303,114.99728010576192,-21.50142919662295,-23.39081156102736,370.48977069303,264.1277719033734,69.30304504194072,49.272854205895854,370.48977069303,229.06851519069392,-124.37536957090475,-24.727616623510972,370.48977069303,238.75955580193195,31.5787303961327,-27.744261969163126,370.48977069303,137.6340160268859,32.04625107722199,-2.555703724834064,370.48977069303,209.82439526199278,-102.50710540183756,-17.45119111078793,370.48977069303,228.1572738451624,-54.50939777531846,-0.5661469742696121,370.48977069303
