x_1,y_1,z_1,E_1_eV,x_2,y_2,z_2,E_2_eV,x_3,y_3,z_3,E_3_eV,x_4,y_4,z_4,E_4_eV,x_5,y_5,z_5,E_5_eV,x_6,y_6,z_6,E_6_eV,x_7,y_7,z_7,E_7_eV,x_8,y_8,z_8,E_8_eV,x_9,y_9,z_9,E_9_eV,x_10,y_10,z_10,E_10_eV,x_11,y_11,z_11,E_11_eV,x_12,y_12,z_12,E_12_eV,x_13,y_13,z_13,E_13_eV,x_14,y_14,z_14,E_14_eV,x_15,y_15,z_15,E_15_eV,x_16,y_16,z_16,E_16_eV,x_17,y_17,z_17,E_17_eV,x_18,y_18,z_18,E_18_eV,x_19,y_19,z_19,E_19_eV,x_20,y_20,z_20,E_20_eV,x_21,y_21,z_21,E_21_eV,x_22,y_22,z_22,E_22_eV,x_23,y_23,z_23,E_23_eV,x_24,y_24,z_24,E_24_eV,x_25,y_25,z_25,E_25_eV,x_26,y_26,z_26,E_26_eV,x_27,y_27,z_27,E_27_eV,x_28,y_28,z_28,E_28_eV,x_29,y_29,z_29,E_29_eV,x_30,y_30,z_30,E_30_eV,x_31,y_31,z_31,E_31_eV,x_32,y_32,z_32,E_32_eV,x_33,y_33,z_33,E_33_eV,x_34,y_34,z_34,E_34_eV,x_35,y_35,z_35,E_35_eV,x_36,y_36,z_36,E_36_eV,x_37,y_37,z_37,E_37_eV,x_38,y_38,z_38,E_38_eV,x_39,y_39,z_39,E_39_eV,x_40,y_40,z_40,E_40_eV,x_41,y_41,z_41,E_41_eV,x_42,y_42,z_42,E_42_eV,x_43,y_43,z_43,E_43_eV,x_44,y_44,z_44,E_44_eV,x_45,y_45,z_45,E_45_eV,x_46,y_46,z_46,E_46_eV,x_47,y_47,z_47,E_47_eV,x_48,y_48,z_48,E_48_eV,x_49,y_49,z_49,E_49_eV,x_50,y_50,z_50,E_50_eV
-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578,-10.0,0.0,0.0,1306.960049937578
-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578,-9.0,0.0,0.0,1306.960049937578
-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578,-8.0,0.0,0.0,1306.960049937578
-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578,-7.0,0.0,0.0,1306.960049937578
-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578,-6.0,0.0,0.0,1306.960049937578
-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578,-5.0,0.0,0.0,1306.960049937578
-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578,-4.0,0.0,0.0,1306.960049937578
-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578,-3.0,0.0,0.0,1306.960049937578
-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578,-2.0,0.0,0.0,1306.960049937578
-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578,-1.0,0.0,0.0,1306.960049937578
