x,y,z,energy_eV
-50,0,0,522784.0199750312
50.000000000000014,0.0,0.0,522784.0199750312
30469.106307159225,-40192.067680322565,22593.352957478488,522784.0199750312
47875.04330601772,-25574.956082381297,23745.737633297427,470650.43349552667
52744.15411278939,-25624.63187053415,23104.765970231292,423715.7642272747
76670.63324452614,-21296.934630351672,9161.985025616423,381461.5605924218
92722.37859071576,-7504.536114374641,8532.544804281446,343421.0725555044
106900.92946365573,-16903.295748568118,17264.503976897242,309174.09579096653
125039.3216330045,-14621.540864774364,20245.654167496985,278342.33000571775
131004.4328766238,-8312.457434045384,21928.980119367814,250585.20014365172
147007.43991133402,-4124.580225860367,14686.955770286946,225596.0943121518
169650.27890626318,4227.48501223442,-8634.088611253232,203098.97687382088
175507.77048958774,5667.4748091488145,-17388.657781755486,182845.33929083595
175785.42368998262,5589.079356801743,-17532.846821268788,164611.45504022625
235188.69895377965,30515.852526789968,-49032.899201851586,148195.908277212
317715.3898811708,33923.99333830654,-16145.171496995747,133417.36894762854
341692.076663634,45992.465337346155,-32083.57607389617,120112.58977279576
360399.7900170224,32987.75166709334,-39942.20616103541,108134.60298104881
363107.0253675673,32335.71400879949,-37715.83348858925,97351.09686659518
429026.2215290293,40808.403088336636,-102130.23419692369,87642.9542427796
445766.6201881554,32490.271335693724,-109139.74277034226,78902.93664516168
488131.38561788923,83243.92925005399,-122730.9298372957,71034.49974979929
488264.3278004006,83322.64764509207,-122934.0113199439,63950.726921564456
496380.8639896001,85295.21040322134,-131118.30002616672,57573.36911221177
500651.812568687,83539.37282310145,-126198.9414463009,51831.98050268372
507234.7567511478,81308.141907309,-121662.18701219666,46663.14034175127
511940.29311787547,82917.71294430758,-120876.21884451345,42009.752385233136
513672.8437549914,84323.00344428646,-122156.03632472627,37820.41419723204
532419.7232673352,62093.16497681932,-117126.32711886779,34048.84934653854
536202.3613712563,59040.72338284328,-120321.93903870111,30653.396226108103
537701.9935416683,57229.146032678946,-119951.33610278268,27596.54784898929
546935.2586567457,49651.34154105035,-112570.9996705376,24844.53753717872
549325.4379703233,47864.48161124823,-112951.15681883112,22366.965926822944
552864.8656589967,48882.67910351975,-112363.5018355016,20136.46516957744
553394.2675307527,48413.11733942195,-112346.6390375402,18128.396620810716
555839.2321927474,46960.156943779366,-110269.96861790752,16320.578675245104
559470.7940587009,46203.63278785077,-110011.22055215678,14693.041743641714
564367.7070577631,41961.38860637396,-108267.66694566506,13227.807663943371
569779.2766765677,40030.21027640663,-105633.8264619164,11908.691110198326
571974.8288645918,38636.495193631665,-106626.74579159978,10721.120805580209
595592.9532972167,52759.584560543655,-108580.66707337466,9651.97856458052
600266.044268782,53770.35592113117,-103733.02868571294,8689.454386395206
602422.1303327824,55308.58929039845,-106374.13565257873,7822.915998832249
